총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,007,844","41"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,007,803","1,000"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,803","500"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,303","10"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,293","100"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,193","1"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,192","30"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","8,006,162","7,963"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,998,199","55,022"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,943,177","3,283"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,939,894","1,695"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,938,199","50"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,938,149","1"
30672,"09:30:05","4,800","-25","4,802.42","1,738.61","7,938,148","1"
30672,"09:29:59","4,800","-25","4,803.11","1,738.61","7,938,147","400"
30672,"09:29:57","4,800","-25","4,803.11","1,738.61","7,937,747","200"
30672,"09:29:54","4,800","-25","4,803.80","1,738.86","7,937,547","1,000"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,547","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,546","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,545","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,544","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,543","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,542","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,541","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,540","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,539","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,538","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,537","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,536","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,535","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,534","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,533","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,532","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,531","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,530","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,529","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,528","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,527","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,526","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,525","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,524","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,523","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,522","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,521","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,520","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,519","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,518","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,517","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,516","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,515","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,514","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,513","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,512","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,511","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,510","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,509","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,508","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,507","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,506","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,505","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,504","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,503","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,502","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,501","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,500","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,499","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,498","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,497","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,496","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,495","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,494","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,493","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,492","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,491","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,490","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,489","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,488","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,487","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,486","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,485","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,484","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,483","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,482","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,481","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,480","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,479","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,478","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,477","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,476","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,475","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,474","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,473","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,472","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,471","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,470","1"
